               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063566,            0.035602,            0.046899,             0.58402,              0.5186,             0.54489,             0.29974,            0.043979,            0.018242,            0.022331,            0.070035,           0.0033294,           0.0033294
                   1,            0.048625,            0.030972,            0.023048,             0.60735,             0.56055,             0.57736,             0.32991,            0.043142,             0.01884,            0.016119,            0.039375,           0.0060032,           0.0060032
                   2,            0.046528,            0.032368,            0.021756,             0.57783,             0.46847,             0.47797,             0.26225,             0.04356,             0.02089,            0.020001,           0.0080558,           0.0080169,           0.0080169
                   3,            0.045836,            0.034166,            0.023081,             0.56849,             0.47468,             0.49161,             0.27544,            0.042994,            0.020921,            0.019946,             0.00703,             0.00703,             0.00703
                   4,            0.044727,             0.03403,            0.021826,             0.59039,             0.50081,             0.51863,             0.29919,            0.041636,            0.020673,            0.017138,             0.00703,             0.00703,             0.00703
                   5,            0.043084,            0.033879,             0.02044,             0.57272,             0.50172,             0.52915,             0.30199,            0.040831,            0.020537,            0.017113,             0.00604,             0.00604,             0.00604
                   6,            0.041046,            0.033061,            0.018122,             0.64054,             0.55837,             0.59395,              0.3596,             0.03923,            0.019957,            0.014117,             0.00505,             0.00505,             0.00505
                   7,            0.039708,            0.032247,            0.016435,             0.64965,             0.56754,             0.60573,             0.37708,            0.037833,            0.019719,            0.013345,             0.00406,             0.00406,             0.00406
                   8,            0.038072,            0.031816,            0.014675,             0.66615,             0.58643,             0.62955,             0.40064,            0.036788,            0.019287,            0.012514,             0.00307,             0.00307,             0.00307
                   9,            0.036421,            0.031213,            0.012899,             0.67147,             0.60377,             0.64716,             0.41836,            0.035733,            0.019088,             0.01133,             0.00208,             0.00208,             0.00208
